name,state_name,rank,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
University of Missouri-St Louis,Missouri,10,48700,87500,51,13
Missouri State University-Springfield,Missouri,11,45900,86800,50,9
Truman State University,Missouri,12,47900,85800,48,16
Northwest Missouri State University,Missouri,13,46900,85100,50,26
Park University,Missouri,14,48500,85000,56,7
Webster University,Missouri,15,46500,83500,50,2
University of Central Missouri,Missouri,16,46900,83300,54,45
Avila University,Missouri,17,45900,81200,68,3
Maryville University of Saint Louis,Missouri,18,46800,80100,53,2
Drury University,Missouri,19,42600,79400,60,12
Southeast Missouri State University,Missouri,20,43700,79100,52,9
Lindenwood University,Missouri,21,45100,78500,48,9
Kansas City Art Institute,Missouri,22,42500,77700,37,0
Missouri Western State University,Missouri,22,43400,77700,53,14
Stephens College,Missouri,24,42800,77200,47,6
Columbia College (Missouri),Missouri,25,44100,76600,52,2
Montana Tech of the University of Montana,Montana,1,61200,112600,64,61
Montana State University,Montana,2,53700,96200,54,31
Carroll College,Montana,3,48200,91400,55,25
The University of Montana,Montana,4,46500,87800,51,8
Rocky Mountain College,Montana,5,46000,82900,59,12
University of Providence,Montana,6,44700,81900,69,16
Montana State University-Billings,Montana,7,43300,77700,59,5
Montana State University-Northern,Montana,8,43400,75400,63,1
The University of Montana-Western,Montana,9,35400,63700,63,4
University of Nebraska-Lincoln,Nebraska,1,51500,96700,53,20
Creighton University,Nebraska,2,53500,95800,56,9
University of Nebraska Medical Center,Nebraska,3,53400,93000,79,6
Clarkson College,Nebraska,4,50900,91500,74,0
Nebraska Methodist College of Nursing & Allied Health,Nebraska,5,51300,89800,84,0
University of Nebraska at Omaha,Nebraska,6,49400,89500,52,18
Union College (Nebraska),Nebraska,7,49100,87800,55,9
Hastings College,Nebraska,8,48600,87100,55,14
Doane University-Arts & Sciences,Nebraska,9,47300,85300,51,21
Bellevue University,Nebraska,10,49400,84800,57,23
University of Nebraska at Kearney,Nebraska,11,44300,80800,52,8
Nebraska Wesleyan University,Nebraska,12,45700,80500,60,8
Midland University,Nebraska,13,43800,78100,60,7
College of Saint Mary,Nebraska,14,43900,77700,45,9
Doane University-Graduate and Professional Studies,Nebraska,15,43200,77000,54,0
Chadron State College,Nebraska,16,42300,76700,66,3
Peru State College,Nebraska,17,42600,74800,50,6
Wayne State College,Nebraska,18,40600,73400,54,11
Concordia University-Nebraska,Nebraska,19,39700,68900,48,5
Sierra Nevada College,Nevada,1,54000,95500,39,2
University of Nevada-Reno,Nevada,2,52700,95000,47,24
University of Nevada-Las Vegas,Nevada,3,50400,90400,46,12
Dartmouth College,New-Hampshire,1,71500,130900,44,35
Saint Anselm College,New-Hampshire,2,56400,100300,59,11
University of New Hampshire-Main Campus,New-Hampshire,2,54300,100300,50,23
University of New Hampshire at Manchester,New-Hampshire,4,51900,90900,50,32
Thomas More College of Liberal Arts,New-Hampshire,5,48900,88300,-1,0
New England College,New-Hampshire,6,45700,86400,43,24
Franklin Pierce University,New-Hampshire,7,47800,85600,52,3
Rivier University,New-Hampshire,8,49500,85100,58,41
Colby-Sawyer College,New-Hampshire,9,46400,83700,43,7
Keene State College,New-Hampshire,10,48900,83600,49,8
Southern New Hampshire University,New-Hampshire,11,47400,83400,49,8
Plymouth State University,New-Hampshire,12,47000,82200,50,6
Granite State College,New-Hampshire,13,43500,76900,67,3
Stevens Institute of Technology,New-Jersey,1,75100,139900,47,79
Princeton University,New-Jersey,2,75200,139400,48,48
New Jersey Institute of Technology,New-Jersey,3,64600,121300,51,75
Rutgers University-New Brunswick,New-Jersey,4,59800,111000,42,29
Seton Hall University,New-Jersey,5,57100,103800,45,8
Rutgers University-Newark,New-Jersey,6,57900,101800,52,11
The College of New Jersey,New-Jersey,6,58200,101800,44,16
Rider University,New-Jersey,8,51600,99000,47,5
Fairleigh Dickinson University-Florham Campus,New-Jersey,9,53700,98500,42,6
Fairleigh Dickinson University-Florham Campus,New-Jersey,9,53700,98500,42,6
Felician University,New-Jersey,11,53200,98200,51,10
Saint Peter's University,New-Jersey,12,52900,95900,35,14
Thomas Edison State University,New-Jersey,13,52500,95600,54,0
Montclair State University,New-Jersey,14,50800,95400,42,9
Ramapo College of New Jersey,New-Jersey,15,51600,95200,41,12
Drew University,New-Jersey,16,52800,95000,37,16
Rutgers University-Camden,New-Jersey,17,51100,93900,50,9
Monmouth University,New-Jersey,18,52200,93200,44,13
Fairleigh Dickinson University-Metropolitan Campus,New-Jersey,19,50800,93000,43,23
Rowan University,New-Jersey,20,51100,91200,43,21
William Paterson University of New Jersey,New-Jersey,21,50500,90200,44,7
Kean University,New-Jersey,22,48200,90000,51,10
Bloomfield College,New-Jersey,23,48400,89100,55,17
New Jersey City University,New-Jersey,24,48700,87600,55,9
Stockton University,New-Jersey,25,47400,85800,49,16
New Mexico Institute of Mining and Technology,New-Mexico,1,64700,120400,61,91
New Mexico State University-Main Campus,New-Mexico,2,50400,96700,60,22
University of New Mexico-Main Campus,New-Mexico,3,48400,94000,59,19
Eastern New Mexico University-Main Campus,New-Mexico,4,44500,80500,61,5
Western New Mexico University,New-Mexico,5,41700,76700,75,4
New Mexico Highlands University,New-Mexico,6,40400,73800,63,4
Albany College of Pharmacy and Health Sciences,New-York,1,81000,144800,82,2
United States Military Academy,New-York,2,80200,144000,61,39
Webb Institute,New-York,3,80800,141800,-1,100
United States Merchant Marine Academy,New-York,4,80600,140700,62,56
SUNY Maritime College,New-York,4,74900,140700,53,32
Rensselaer Polytechnic Institute,New-York,6,71300,134100,49,78
Colgate University,New-York,7,68400,130600,41,26
Clarkson University,New-York,8,66400,130100,58,58
Cornell University,New-York,9,70100,128200,45,43
Columbia University in the City of New York,New-York,10,71400,126800,45,30
Cooper Union for the Advancement of Science and Art,New-York,11,68500,126200,46,56
Manhattan College,New-York,12,64000,125700,46,40
New York University,New-York,13,63100,117700,42,18
Union College (New York),New-York,14,63300,117500,50,47
Yeshiva University,New-York,15,63500,112800,40,11
University of Rochester,New-York,16,61100,112700,50,32
Fordham University,New-York,17,58700,112500,38,10
Hofstra University,New-York,18,57300,110400,38,7
Barnard College,New-York,19,59200,109800,57,19
Binghamton University,New-York,20,61300,109600,44,34
SUNY Downstate Medical Center,New-York,21,64000,109300,83,0
Hobart William Smith Colleges,New-York,22,56500,108500,46,18
Hamilton College,New-York,23,62600,108100,45,25
Pace University-New York,New-York,24,59800,107800,40,14
Stony Brook University,New-York,24,59200,107800,49,35
Duke University,North-Carolina,1,71100,132100,50,26
Wake Forest University,North-Carolina,2,60700,114800,44,13
Davidson College,North-Carolina,3,57300,106900,50,28
North Carolina State University at Raleigh,North-Carolina,4,57300,106500,52,47
University of North Carolina at Chapel Hill,North-Carolina,5,55000,100800,49,19
Elon University,North-Carolina,6,53600,93700,43,7
North Carolina A & T State University,North-Carolina,7,52600,93400,61,25
University of North Carolina at Charlotte,North-Carolina,8,52500,92600,49,25
Queens University of Charlotte,North-Carolina,9,49400,86600,48,9
Lenoir-Rhyne University,North-Carolina,10,46400,86300,54,7
East Carolina University,North-Carolina,11,48400,85400,55,11
High Point University,North-Carolina,12,48600,84300,50,8
Johnson C Smith University,North-Carolina,13,45700,83300,57,16
Belmont Abbey College,North-Carolina,14,46700,82900,49,7
Appalachian State University,North-Carolina,15,46600,82700,47,9
Campbell University,North-Carolina,16,46300,82400,56,8
University of North Carolina School of the Arts,North-Carolina,16,46400,82400,44,0
John Wesley University,North-Carolina,18,45100,82100,-1,0
University of North Carolina Wilmington,North-Carolina,19,46400,80500,47,14
Methodist University,North-Carolina,19,45800,80500,58,9
North Carolina Wesleyan College,North-Carolina,21,45300,78800,62,8
Catawba College,North-Carolina,22,42500,78100,58,11
Pfeiffer University,North-Carolina,23,44200,78000,51,4
Barton College,North-Carolina,24,42400,77900,62,6
Western Carolina University,North-Carolina,25,44700,77700,58,8
North Dakota State University-Main Campus,North-Dakota,1,54200,98600,56,27
University of North Dakota,North-Dakota,2,53800,96000,54,16
University of Jamestown,North-Dakota,3,47600,85400,64,11
Mayville State University,North-Dakota,4,43700,81300,44,10
Dickinson State University,North-Dakota,5,46400,81200,55,8
University of Mary,North-Dakota,6,46400,79100,64,3
Minot State University,North-Dakota,7,44500,74100,55,7
Valley City State University,North-Dakota,8,39900,68600,56,3
Trinity Bible College and Graduate School,North-Dakota,9,34100,61300,-1,0
Case Western Reserve University,Ohio,1,66600,117800,44,37
Miami University-Oxford,Ohio,2,57200,107300,46,22
Wittenberg University,Ohio,3,52400,105400,61,22
University of Dayton,Ohio,4,57400,105000,44,33
Denison University,Ohio,5,54400,104800,45,22
Ohio Northern University,Ohio,6,54400,103900,49,22
Kenyon College,Ohio,7,55000,103800,50,17
Mount Carmel College of Nursing,Ohio,8,56600,99700,78,0
Ohio Wesleyan University,Ohio,9,51300,99200,46,21
Ohio State University-Main Campus,Ohio,10,55300,98600,49,27
John Carroll University,Ohio,11,51600,97300,39,16
University of Cincinnati-Main Campus,Ohio,11,53600,97300,50,19
Oberlin College,Ohio,13,53100,96800,47,21
Kettering College,Ohio,14,54300,95800,-1,0
Marietta College,Ohio,15,51200,94300,57,45
Xavier University,Ohio,16,51800,94000,46,7
Ohio University-Main Campus,Ohio,17,51400,93300,47,9
University of Toledo,Ohio,18,51800,92500,52,21
The College of Wooster,Ohio,19,49200,91300,56,32
University of Akron Main Campus,Ohio,20,50700,89200,48,22
Cleveland State University,Ohio,21,48300,88600,51,20
University of Mount Union,Ohio,22,48300,88500,41,19
The University of Findlay,Ohio,23,49100,87900,53,3
Wright State University-Main Campus,Ohio,24,50300,87800,49,31
Bowling Green State University-Main Campus,Ohio,25,47200,87500,45,11
University of Tulsa,Oklahoma,1,58700,107200,51,36
University of Oklahoma-Health Sciences Center,Oklahoma,2,57100,102100,68,3
University of Oklahoma-Norman Campus,Oklahoma,3,54400,100600,52,23
Oklahoma State University-Main Campus,Oklahoma,4,52800,98600,54,25
Oklahoma State University Institute of Technology,Oklahoma,5,52600,92300,53,14
Southwestern Oklahoma State University,Oklahoma,6,47900,90800,58,5
Oklahoma City University,Oklahoma,7,47700,87900,58,9
Oklahoma Christian University,Oklahoma,7,49700,87900,57,41
Oral Roberts University,Oklahoma,9,45900,85100,59,8
University of Central Oklahoma,Oklahoma,10,45300,82900,56,8
Langston University,Oklahoma,11,46500,81500,66,8
Cameron University,Oklahoma,11,43900,81500,54,14
Southern Nazarene University,Oklahoma,13,46100,81000,62,5
Southeastern Oklahoma State University,Oklahoma,14,45000,80500,53,15
Oklahoma Wesleyan University,Oklahoma,15,43300,78700,58,1
Northeastern State University,Oklahoma,16,44500,77600,58,7
East Central University,Oklahoma,17,44700,77500,66,9
Northwestern Oklahoma State University,Oklahoma,18,42200,76800,55,11
Oklahoma Baptist University,Oklahoma,19,43900,76600,62,8
Oklahoma Panhandle State University,Oklahoma,20,42300,74400,54,10
Mid-America Christian University,Oklahoma,21,40700,74100,71,0
Rogers State University,Oklahoma,22,41400,73800,48,11
University of Science and Arts of Oklahoma,Oklahoma,23,37300,67400,49,11
Oregon Health & Science University,Oregon,1,65400,108300,79,10
Oregon Institute of Technology,Oregon,2,61200,106800,60,27
University of Portland,Oregon,3,58500,104900,52,28
Reed College,Oregon,3,56100,104900,44,26
Oregon State University,Oregon,5,56200,104800,53,34
Willamette University,Oregon,6,52200,97700,49,14
University of Oregon,Oregon,7,51800,95800,46,13
Pacific University,Oregon,8,50200,94000,66,8
Linfield College-Online and Continuing Education,Oregon,8,50900,94000,-1,0
Lewis & Clark College,Oregon,10,50000,93200,51,12
Linfield College-McMinnville Campus,Oregon,11,52100,92000,48,17
Portland State University,Oregon,12,50800,90500,48,16
George Fox University,Oregon,13,51200,89600,52,8
Concordia University-Portland,Oregon,14,48000,86100,69,1
Pacific Northwest College of Art,Oregon,15,46300,85000,-1,0
Southern Oregon University,Oregon,16,46000,81200,54,6
Northwest Christian University,Oregon,17,45200,81100,62,5
Warner Pacific College,Oregon,18,45500,80500,58,10
Marylhurst University,Oregon,19,46200,79800,63,0
Western Oregon University,Oregon,20,44500,79300,50,5
Corban University,Oregon,21,42500,77300,63,1
Multnomah University,Oregon,22,40500,76400,82,0
Eastern Oregon University,Oregon,23,44000,73900,56,5
New Hope Christian College-Eugene,Oregon,24,34200,61600,-1,0
Carnegie Mellon University,Pennsylvania,1,75900,136100,45,66
Lehigh University,Pennsylvania,2,69500,134100,45,52
University of Pennsylvania,Pennsylvania,3,72800,133900,41,21
Swarthmore College,Pennsylvania,4,67500,123200,44,45
Bucknell University,Pennsylvania,5,66700,122900,40,40
Lafayette College,Pennsylvania,6,66500,122500,37,47
Villanova University,Pennsylvania,7,65100,119500,41,23
University of the Sciences,Pennsylvania,8,60700,115200,72,12
Drexel University,Pennsylvania,9,61700,114800,47,28
Haverford College,Pennsylvania,10,59300,112300,47,36
Franklin and Marshall College,Pennsylvania,11,57200,109700,42,23
Gettysburg College,Pennsylvania,12,58400,109300,39,24
Pennsylvania State University-Main Campus,Pennsylvania,13,58500,105500,47,37
Saint Joseph's University,Pennsylvania,14,57300,105100,41,6
La Salle University,Pennsylvania,15,55800,104800,40,5
Thomas Jefferson University,Pennsylvania,16,63400,102500,83,7
Muhlenberg College,Pennsylvania,17,53400,101900,43,20
Ursinus College,Pennsylvania,18,54400,101800,42,40
Pennsylvania State University-Penn State Harrisburg,Pennsylvania,19,55000,100400,47,31
University of Pittsburgh-Pittsburgh Campus,Pennsylvania,19,55900,100400,50,27
Dickinson College,Pennsylvania,21,55800,100100,46,25
Widener University,Pennsylvania,21,55700,100100,57,13
University of Scranton,Pennsylvania,23,56400,99700,42,12
Grove City College,Pennsylvania,24,54400,98400,53,29
Pennsylvania State University-Penn State Erie-Behrend College,Pennsylvania,25,58800,97900,44,32
Brown University,Rhode-Island,1,68200,127600,45,43
Bryant University,Rhode-Island,2,60500,108600,37,8
Providence College,Rhode-Island,3,58900,106900,44,11
Rhode Island School of Design,Rhode-Island,4,55500,100600,39,0
University of Rhode Island,Rhode-Island,5,54500,99700,50,18
Salve Regina University,Rhode-Island,6,53000,93900,50,6
New England Institute of Technology,Rhode-Island,7,51700,93200,44,14
Roger Williams University,Rhode-Island,8,52900,92700,48,12
Rhode Island College,Rhode-Island,9,47200,83500,52,5
Johnson & Wales University-Online,Rhode-Island,10,46200,81600,43,0
Johnson & Wales University-Providence,Rhode-Island,11,46500,78900,41,5
Citadel Military College of South Carolina,South-Carolina,1,60400,108100,62,19
Clemson University,South-Carolina,2,57500,106700,50,39
Furman,South-Carolina,3,52100,98800,48,16
Wofford College,South-Carolina,4,51300,96600,51,28
Medical University of South Carolina,South-Carolina,5,54800,92700,88,6
University of South Carolina-Columbia,South-Carolina,6,50300,89900,52,20
Presbyterian College,South-Carolina,6,48800,89900,57,14
College of Charleston,South-Carolina,8,47300,85100,44,20
University of South Carolina-Upstate,South-Carolina,9,46000,81400,50,13
South Carolina State University,South-Carolina,10,44500,80800,71,16
Winthrop University,South-Carolina,11,44300,79700,49,9
Erskine College,South-Carolina,12,43500,78000,57,28
Coastal Carolina University,South-Carolina,13,44700,77600,48,14
Francis Marion University,South-Carolina,13,42900,77600,58,18
Lander University,South-Carolina,15,42600,77100,54,9
Limestone College,South-Carolina,16,42100,76500,57,10
Charleston Southern University,South-Carolina,17,42800,76300,65,9
University of South Carolina-Aiken,South-Carolina,18,41600,75100,58,10
Newberry College,South-Carolina,19,41200,74700,54,14
Southern Wesleyan University,South-Carolina,20,42900,74600,52,5
Converse College,South-Carolina,21,39000,71000,60,8
Anderson University (South Carolina),South-Carolina,22,39900,70100,51,5
Columbia College (South Carolina),South-Carolina,23,39200,68300,56,6
Benedict College,South-Carolina,24,38100,67500,61,19
Columbia International University,South-Carolina,25,36600,66200,62,0
South Dakota School of Mines and Technology,South-Dakota,1,66500,118500,58,92
South Dakota State University,South-Dakota,2,50500,91900,58,18
Augustana University,South-Dakota,3,47900,88400,54,18
University of South Dakota,South-Dakota,4,47500,87900,56,8
Dakota State University,South-Dakota,5,48400,84300,49,53
University of Sioux Falls,South-Dakota,6,44400,78200,64,6
Northern State University,South-Dakota,7,42300,77700,56,7
Mount Marty College,South-Dakota,8,41400,76500,67,5
Dakota Wesleyan University,South-Dakota,9,41800,75700,52,10
Black Hills State University,South-Dakota,10,40400,72600,51,11
Vanderbilt University,Tennessee,1,65400,119100,48,23
Sewanee-The University of the South,Tennessee,2,53700,97800,57,17
Rhodes College,Tennessee,2,51900,97800,46,25
Christian Brothers University,Tennessee,4,51500,96500,60,14
Baptist Memorial College of Health Sciences,Tennessee,5,55700,95700,90,4
Tennessee Technological University,Tennessee,6,53100,95100,48,28
The University of Tennessee-Knoxville,Tennessee,6,51200,95100,52,21
University of Memphis,Tennessee,8,47200,85800,55,12
Lipscomb University,Tennessee,9,49000,84800,59,12
Southern Adventist University,Tennessee,10,47500,84000,67,9
Fisk University,Tennessee,11,45300,83600,53,39
Union University,Tennessee,12,46400,83000,59,6
The University of Tennessee-Chattanooga,Tennessee,13,46000,82300,56,17
Trevecca Nazarene University,Tennessee,14,45300,81700,65,5
Middle Tennessee State University,Tennessee,15,46500,81100,52,9
Cumberland University,Tennessee,16,45500,81000,61,3
Belmont University,Tennessee,17,47300,80900,47,3
The University of Tennessee-Martin,Tennessee,18,44400,78600,58,10
Tennessee State University,Tennessee,19,47200,78400,68,14
Freed-Hardeman University,Tennessee,20,43700,78200,54,9
Austin Peay State University,Tennessee,20,44200,78200,63,10
East Tennessee State University,Tennessee,22,43700,77300,57,8
Carson-Newman University,Tennessee,23,42700,76500,61,5
Maryville College,Tennessee,24,42800,75300,68,16
Milligan College,Tennessee,25,41200,74900,63,5
Rice University,Texas,1,71000,129500,50,45
The King's University,Texas,2,63800,116500,33,0
Texas A&M University-College Station,Texas,3,60600,115700,53,30
The University of Texas at Austin,Texas,4,60700,112800,49,28
Southern Methodist University,Texas,5,59700,110400,46,22
The University of Texas Health Science Center at Houston,Texas,6,65400,109400,80,14
Texas Tech University,Texas,7,56800,106500,54,22
Texas Tech University Health Sciences Center,Texas,8,61300,104900,86,3
University of Houston,Texas,9,56000,103900,50,24
The University of Texas Medical Branch,Texas,10,61100,103100,87,3
Trinity University,Texas,11,54900,102900,46,27
Baylor University,Texas,12,55500,101400,49,16
Lamar University,Texas,13,53300,101200,57,16
The University of Texas at Dallas,Texas,14,57100,100900,42,44
The University of Texas Health Science Center at San Antonio,Texas,15,59400,100200,85,4
The University of Texas at Arlington,Texas,16,55400,99500,55,22
Prairie View A&M University,Texas,17,57800,99400,65,22
LeTourneau University,Texas,18,56600,98900,53,21
Texas Christian University,Texas,19,56000,98700,51,9
Texas A&M University-Kingsville,Texas,20,53100,97500,63,53
University of Dallas,Texas,21,53000,96400,49,16
St. Mary's University,Texas,22,52900,95300,61,17
University of Houston-Clear Lake,Texas,23,50700,94800,48,29
Amberton University,Texas,24,52800,93600,57,0
Southwestern University,Texas,25,51800,93500,51,19
Brigham Young University-Provo,Utah,1,59200,108000,60,25
University of Utah,Utah,2,54800,102600,57,22
Weber State University,Utah,3,53900,94000,60,8
Utah State University,Utah,4,52400,93900,61,14
Westminster College (Utah),Utah,5,51700,92200,55,10
Western Governors University,Utah,6,54500,91500,57,9
Utah Valley University,Utah,7,51100,90600,57,12
Southern Utah University,Utah,8,46400,84400,65,7
"Stevens-Henager College (Murray, Utah)",Utah,9,42400,76100,54,51
Independence University,Utah,10,40500,74100,78,2
Middlebury College,Vermont,1,60400,109800,54,19
University of Vermont,Vermont,2,53200,99400,50,22
Norwich University,Vermont,3,57000,99100,51,20
Saint Michael's College,Vermont,4,52900,98500,40,18
Vermont Technical College,Vermont,5,52400,93900,41,4
Bennington College,Vermont,6,48800,90000,50,5
Champlain College,Vermont,7,51100,88400,39,14
College of St Joseph,Vermont,8,47000,85000,72,0
Southern Vermont College,Vermont,9,42900,78700,63,17
Goddard College,Vermont,10,42700,76900,-1,0
Castleton University,Vermont,11,41700,76200,52,6
Green Mountain College,Vermont,12,42000,75200,57,2
Lyndon State College,Vermont,13,41500,75100,49,8
Johnson State College,Vermont,14,39500,72100,46,2
Washington and Lee University,Virginia,1,65900,123200,40,18
Virginia Military Institute,Virginia,2,65900,120600,68,47
University of Virginia-Main Campus,Virginia,3,64500,117500,46,23
Virginia Polytechnic Institute and State University,Virginia,4,62700,114000,48,42
College of William and Mary,Virginia,5,59000,108900,42,21
Hampden-Sydney College,Virginia,6,58300,108600,52,20
University of Richmond,Virginia,7,59800,107500,48,13
George Mason University,Virginia,8,58900,105700,48,23
James Madison University,Virginia,9,57400,102600,42,12
University of Mary Washington,Virginia,10,54200,98200,49,17
Jefferson College of Health Sciences,Virginia,11,55500,97600,86,1
Marymount University,Virginia,12,52300,93100,44,15
Hampton University,Virginia,13,52700,92600,61,12
Old Dominion University,Virginia,14,50200,89900,52,19
Lynchburg College,Virginia,15,47700,89100,54,11
Virginia Commonwealth University,Virginia,16,49900,88200,52,18
Christopher Newport University,Virginia,17,50800,87200,55,25
Shenandoah University,Virginia,18,48700,86600,57,7
Randolph College,Virginia,19,47000,86100,50,23
Roanoke College,Virginia,20,48500,85100,53,18
Longwood University,Virginia,21,47300,83300,54,9
Radford University,Virginia,22,48900,82900,53,10
The University of Virginia's College at Wise,Virginia,23,46500,82600,53,5
Virginia State University,Virginia,24,44900,81800,61,14
Ferrum College,Virginia,25,43000,80600,54,6
Seattle University,Washington,1,60600,113700,59,12
University of Washington-Seattle Campus,Washington,2,61900,112300,51,34
University of Washington-Bothell Campus,Washington,3,60200,108000,53,26
Gonzaga University,Washington,4,57800,107600,51,19
Washington State University,Washington,5,55900,103700,50,20
Seattle Pacific University,Washington,6,53600,103400,52,9
Whitman College,Washington,7,54600,102600,53,33
University of Puget Sound,Washington,8,54200,101300,45,21
Western Washington University,Washington,9,55000,99300,45,16
Pacific Lutheran University,Washington,10,54500,98100,53,20
Walla Walla University,Washington,11,53700,97800,54,22
University of Washington-Tacoma Campus,Washington,12,56000,96800,50,23
City University of Seattle,Washington,13,51500,94600,54,4
Central Washington University,Washington,14,52700,93200,47,13
Saint Martin's University,Washington,15,53200,91800,60,29
Northwest University,Washington,16,50900,89000,51,3
Whitworth University,Washington,17,49900,88800,52,18
Bellevue College,Washington,18,50100,88500,56,14
Whitworth University-Adult Degree Programs,Washington,19,50100,88100,-1,0
Eastern Washington University,Washington,20,49500,87500,52,17
Cornish College of the Arts,Washington,21,49000,86400,39,0
Bastyr University,Washington,22,48400,86300,-1,0
The Evergreen State College,Washington,23,47500,83500,47,0
Clark College,Washington,24,43500,78400,-1,9
Heritage University,Washington,25,41100,73600,-1,17
West Virginia University Institute of Technology,West-Virginia,1,57100,103700,56,40
West Virginia University,West-Virginia,2,54400,99900,52,22
Alderson Broaddus University,West-Virginia,3,50600,90500,72,15
Shepherd University,West-Virginia,4,47100,87100,48,12
West Virginia Wesleyan College,West-Virginia,5,47000,85200,53,21
Bethany College (West Virginia),West-Virginia,6,46000,84900,63,5
Wheeling Jesuit University,West-Virginia,7,44800,83400,57,5
University of Charleston,West-Virginia,8,44600,81900,51,4
Marshall University,West-Virginia,9,45000,79700,50,12
West Liberty University,West-Virginia,10,42500,77000,51,6
Davis & Elkins College,West-Virginia,11,41100,76500,43,10
West Virginia State University,West-Virginia,12,41800,76000,46,8
Concord University,West-Virginia,13,41700,75800,53,9
Fairmont State University,West-Virginia,14,42900,74100,53,7
Bluefield State College,West-Virginia,15,43200,72800,60,3
Ohio Valley University,West-Virginia,16,38800,71100,81,1
Glenville State College,West-Virginia,17,37400,67700,60,3
West Virginia University at Parkersburg,West-Virginia,18,36700,65200,67,3
Milwaukee School of Engineering,Wisconsin,1,65700,117600,50,69
Marquette University,Wisconsin,2,57800,105900,52,25
University of Wisconsin-Madison,Wisconsin,3,57300,104400,48,33
University of Wisconsin-Platteville,Wisconsin,4,56800,100300,50,38
Lawrence University,Wisconsin,5,51500,98800,58,25
Bellin College,Wisconsin,6,55800,97600,94,0
University of Wisconsin-Eau Claire,Wisconsin,7,52100,93600,46,14
Marian University (Wisconsin),Wisconsin,8,46500,90800,52,2
University of Wisconsin-Milwaukee,Wisconsin,9,50600,90300,50,17
Ripon College,Wisconsin,10,46300,89600,60,26
University of Wisconsin-Stout,Wisconsin,11,50400,89500,47,14
University of Wisconsin-Whitewater,Wisconsin,12,48900,89300,44,8
Saint Norbert College,Wisconsin,13,49300,88700,40,15
University of Wisconsin-La Crosse,Wisconsin,14,49600,88300,53,19
Edgewood College,Wisconsin,15,49500,87500,54,5
Carroll University,Wisconsin,16,45600,86500,49,14
Beloit College,Wisconsin,17,47400,85700,59,24
Carthage College,Wisconsin,18,48900,85400,48,17
University of Wisconsin-Oshkosh,Wisconsin,19,47700,84300,52,10
Cardinal Stritch University,Wisconsin,20,47000,82500,51,2
Wisconsin Lutheran College,Wisconsin,20,46200,82500,45,10
Viterbo University,Wisconsin,22,46800,81900,62,3
Concordia University-Wisconsin,Wisconsin,23,46700,81600,61,9
University of Wisconsin-Parkside,Wisconsin,24,46000,81400,47,17
University of Wisconsin-River Falls,Wisconsin,25,47100,81300,52,14
University of Wyoming,Wyoming,1,52400,98800,58,25
